home_team,home_q1,home_q2,home_q3,home_q4,home_q5,home_final,away_team,away_q1,away_q2,away_q3,away_q4,away_q5,away_final,season,week
New England PatriotsNew England (11-4),0,7,7,12,26,26,Buffalo BillsBuffalo (4-11),0,10,7,7,24,24,1978,15
Philadelphia EaglesPhiladelphia (8-7),7,0,0,6,13,13,Dallas CowboysDallas (11-4),14,0,10,7,31,31,1978,15
Chicago BearsChicago (6-9),0,7,7,0,14,14,Green Bay PackersGreen Bay (8-6-1),0,0,0,0,0,0,1978,15
New Orleans SaintsNew Orleans (6-9),0,0,7,5,12,12,Houston OilersHouston (10-5),7,3,0,7,17,17,1978,15
Cleveland BrownsCleveland (8-7),7,10,10,7,3,37,New York JetsNY Jets (8-7),0,10,0,24,0,34,1978,15
New York GiantsNY Giants (6-9),10,0,0,7,17,17,St. Louis CardinalsSt. Louis (5-10),0,0,0,0,0,0,1978,15
Atlanta FalconsAtlanta (9-6),7,3,7,3,20,20,Washington RedskinsWashington (8-7),0,10,0,7,17,17,1978,15
Denver BroncosDenver (10-5),7,0,10,7,24,24,Kansas City ChiefsKansas City (4-11),3,0,0,0,3,3,1978,15
Miami DolphinsMiami (10-5),3,0,3,17,23,23,Oakland RaidersOakland (8-7),0,0,6,0,6,6,1978,15
San Diego ChargersSan Diego (8-7),3,17,0,17,37,37,Seattle SeahawksSeattle (8-7),7,3,0,0,10,10,1978,15
San Francisco 49ersSan Francisco (2-13),0,3,0,3,6,6,Tampa Bay BuccaneersTampa Bay (5-10),0,3,0,0,3,3,1978,15
Los Angeles RamsLos Angeles (11-4),13,3,3,0,19,19,Cincinnati BengalsCincinnati (3-12),0,14,3,3,20,20,1978,15
Washington RedskinsWashington (8-8),0,3,0,7,10,10,Chicago BearsChicago (7-9),7,0,7,0,14,14,1978,16
Denver BroncosDenver (10-6),0,0,7,10,17,17,Pittsburgh SteelersPittsburgh (14-2),7,14,0,0,21,21,1978,16
St. Louis CardinalsSt. Louis (6-10),0,28,7,7,42,42,Atlanta FalconsAtlanta (9-7),7,7,7,0,21,21,1978,16
