home_team,home_q1,home_q2,home_q3,home_q4,home_q5,home_final,away_team,away_q1,away_q2,away_q3,away_q4,away_q5,away_final,season,week
San Francisco 49ersSan Francisco (5-8),7,7,7,0,21,21,New England PatriotsNew England (8-5),0,3,7,7,17,17,1980,13
Los Angeles RamsLos Angeles (9-4),10,14,0,14,38,38,New York JetsNY Jets (3-10),0,13,0,0,13,13,1980,13
San Diego ChargersSan Diego (9-4),9,10,0,3,22,22,Philadelphia EaglesPhiladelphia (11-2),0,0,7,14,21,21,1980,13
Oakland RaidersOakland (9-4),0,0,6,3,9,9,Denver BroncosDenver (7-6),3,0,0,0,3,3,1980,13
Houston OilersHouston (9-5),0,0,3,3,6,6,Pittsburgh SteelersPittsburgh (8-6),0,0,0,0,0,0,1980,14
Philadelphia EaglesPhiladelphia (11-3),0,14,0,3,17,17,Atlanta FalconsAtlanta (11-3),3,7,7,3,20,20,1980,14
Cincinnati BengalsCincinnati (5-9),7,17,7,3,34,34,Baltimore ColtsBaltimore (7-7),0,6,0,27,33,33,1980,14
St. Louis CardinalsSt. Louis (5-9),7,7,0,10,24,24,Detroit LionsDetroit (7-7),0,13,10,0,23,23,1980,14
Chicago BearsChicago (6-8),0,28,13,20,61,61,Green Bay PackersGreen Bay (5-8-1),0,7,0,0,7,7,1980,14
Buffalo BillsBuffalo (10-4),0,0,7,0,3,10,Los Angeles RamsLos Angeles (9-5),0,0,7,0,0,7,1980,14
Tampa Bay BuccaneersTampa Bay (5-8-1),3,7,0,0,10,10,Minnesota VikingsMinnesota (8-6),0,0,7,14,21,21,1980,14
Cleveland BrownsCleveland (10-4),0,3,7,7,17,17,New York JetsNY Jets (3-11),0,0,7,7,14,14,1980,14
Washington RedskinsWashington (4-10),14,6,6,14,40,40,San Diego ChargersSan Diego (9-5),7,3,0,7,17,17,1980,14
Oakland RaidersOakland (9-5),7,3,3,0,13,13,Dallas CowboysDallas (11-3),7,9,3,0,19,19,1980,14
Kansas City ChiefsKansas City (7-7),0,28,0,3,31,31,Denver BroncosDenver (7-7),0,0,7,7,14,14,1980,14
San Francisco 49ersSan Francisco (6-8),0,7,14,14,3,38,New Orleans SaintsNew Orleans (0-14),14,21,0,0,0,35,1980,14
Seattle SeahawksSeattle (4-10),0,7,7,7,21,21,New York GiantsNY Giants (4-10),3,10,0,14,27,27,1980,14
Miami DolphinsMiami (7-7),0,0,6,7,3,16,New England PatriotsNew England (8-6),0,6,0,7,0,13,1980,14
Washington RedskinsWashington (5-10),0,0,7,9,16,16,New York GiantsNY Giants (4-11),0,10,0,3,13,13,1980,15
San Diego ChargersSan Diego (10-5),0,21,0,0,21,21,Seattle SeahawksSeattle (4-11),0,0,7,7,14,14,1980,15
New England PatriotsNew England (9-6),7,7,7,3,24,24,Buffalo BillsBuffalo (10-5),0,0,2,0,2,2,1980,15
Chicago BearsChicago (6-9),0,7,0,7,0,14,Cincinnati BengalsCincinnati (6-9),7,7,0,0,3,17,1980,15
Minnesota VikingsMinnesota (9-6),0,0,9,19,28,28,Cleveland BrownsCleveland (10-5),7,6,3,7,23,23,1980,15
Green Bay PackersGreen Bay (5-9-1),0,3,0,0,3,3,Houston OilersHouston (10-5),6,3,0,13,22,22,1980,15
Pittsburgh SteelersPittsburgh (9-6),7,0,0,14,21,21,Kansas City ChiefsKansas City (7-8),0,3,13,0,16,16,1980,15
New York JetsNY Jets (3-12),0,13,0,7,20,20,New Orleans SaintsNew Orleans (1-14),7,0,0,14,21,21,1980,15
Philadelphia EaglesPhiladelphia (12-3),0,0,7,10,17,17,St. Louis CardinalsSt. Louis (5-10),0,0,0,3,3,3,1980,15
Atlanta FalconsAtlanta (12-3),7,0,14,14,35,35,San Francisco 49ersSan Francisco (6-9),0,3,0,7,10,10,1980,15
Baltimore ColtsBaltimore (7-8),7,0,7,0,14,14,Miami DolphinsMiami (8-7),7,7,0,10,24,24,1980,15
Denver BroncosDenver (7-8),0,7,7,7,21,21,Oakland RaidersOakland (10-5),7,10,0,7,24,24,1980,15
Detroit LionsDetroit (8-7),7,7,3,10,27,27,Tampa Bay BuccaneersTampa Bay (5-9-1),7,0,0,7,14,14,1980,15
Los Angeles RamsLos Angeles (10-5),7,21,10,0,38,38,Dallas CowboysDallas (11-4),0,0,0,14,14,14,1980,15
Miami DolphinsMiami (8-8),10,0,0,7,17,17,New York JetsNY Jets (4-12),7,7,7,3,24,24,1980,16
Tampa Bay BuccaneersTampa Bay (5-10-1),10,0,0,3,13,13,Chicago BearsChicago (7-9),0,7,7,0,14,14,1980,16
Cincinnati BengalsCincinnati (6-10),3,7,14,0,24,24,Cleveland BrownsCleveland (11-5),0,10,14,3,27,27,1980,16
Detroit LionsDetroit (9-7),0,10,0,14,24,24,Green Bay PackersGreen Bay (5-10-1),0,0,3,0,3,3,1980,16
Houston OilersHouston (11-5),3,0,10,7,20,20,Minnesota VikingsMinnesota (9-7),6,7,0,3,16,16,1980,16
New Orleans SaintsNew Orleans (1-15),10,3,7,7,27,27,New England PatriotsNew England (10-6),3,14,7,14,38,38,1980,16
New York GiantsNY Giants (4-12),0,10,0,7,17,17,Oakland RaidersOakland (11-5),10,10,7,6,33,33,1980,16
St. Louis CardinalsSt. Louis (5-11),0,0,0,7,7,7,Washington RedskinsWashington (6-10),0,21,3,7,31,31,1980,16
Baltimore ColtsBaltimore (7-9),0,28,0,0,28,28,Kansas City ChiefsKansas City (8-8),21,0,7,10,38,38,1980,16
Los Angeles RamsLos Angeles (11-5),3,0,14,0,3,20,Atlanta FalconsAtlanta (12-4),7,7,0,3,0,17,1980,16
San Francisco 49ersSan Francisco (6-10),6,0,7,0,13,13,Buffalo BillsBuffalo (11-5),6,7,5,0,18,18,1980,16
Seattle SeahawksSeattle (4-12),0,0,3,14,17,17,Denver BroncosDenver (8-8),10,9,6,0,25,25,1980,16
Dallas CowboysDallas (12-4),7,14,7,7,35,35,Philadelphia EaglesPhiladelphia (12-4),0,0,10,17,27,27,1980,16
San Diego ChargersSan Diego (11-5),3,6,10,7,26,26,Pittsburgh SteelersPittsburgh (9-7),0,3,7,7,17,17,1980,16
Tampa Bay BuccaneersTampa Bay (1-0),7,0,0,14,21,21,Minnesota VikingsMinnesota (0-1),0,0,6,7,13,13,1981,1
New England PatriotsNew England (0-1),0,14,0,14,28,28,Baltimore ColtsBaltimore (1-0),10,3,3,13,29,29,1981,1
Washington RedskinsWashington (0-1),0,7,3,0,10,10,Dallas CowboysDallas (1-0),0,14,6,6,26,26,1981,1
Chicago BearsChicago (0-1),0,0,6,3,9,9,Green Bay PackersGreen Bay (1-0),7,6,0,3,16,16,1981,1
Pittsburgh SteelersPittsburgh (0-1),6,13,7,7,33,33,Kansas City ChiefsKansas City (1-0),10,3,10,14,37,37,1981,1
St. Louis CardinalsSt. Louis (0-1),0,0,0,7,7,7,Miami DolphinsMiami (1-0),0,13,7,0,20,20,1981,1
Atlanta FalconsAtlanta (1-0),7,7,7,6,27,27,New Orleans SaintsNew Orleans (0-1),0,0,0,0,0,0,1981,1
New York GiantsNY Giants (0-1),3,0,0,7,10,10,Philadelphia EaglesPhiladelphia (1-0),0,10,7,7,24,24,1981,1
Detroit LionsDetroit (1-0),0,10,0,14,24,24,San Francisco 49ersSan Francisco (0-1),0,3,0,14,17,17,1981,1
Cincinnati BengalsCincinnati (1-0),0,10,10,7,27,27,Seattle SeahawksSeattle (0-1),21,0,0,0,21,21,1981,1
Los Angeles RamsLos Angeles (0-1),7,10,0,3,20,20,Houston OilersHouston (1-0),3,3,14,7,27,27,1981,1
Buffalo BillsBuffalo (1-0),3,7,21,0,31,31,New York JetsNY Jets (0-1),0,0,0,0,0,0,1981,1
Denver BroncosDenver (1-0),6,3,0,0,9,9,Oakland RaidersOakland (0-1),7,0,0,0,7,7,1981,1
Cleveland BrownsCleveland (0-1),0,7,7,0,14,14,San Diego ChargersSan Diego (1-0),10,10,14,10,44,44,1981,1
Miami DolphinsMiami (2-0),0,13,14,3,30,30,Pittsburgh SteelersPittsburgh (0-2),3,7,0,0,10,10,1981,2
Green Bay PackersGreen Bay (1-1),7,7,3,0,17,17,Atlanta FalconsAtlanta (2-0),0,0,0,31,31,31,1981,2
Cleveland BrownsCleveland (0-2),0,3,0,0,3,3,Houston OilersHouston (2-0),3,0,3,3,9,9,1981,2
New Orleans SaintsNew Orleans (1-1),6,10,0,7,23,23,Los Angeles RamsLos Angeles (0-2),0,3,7,7,17,17,1981,2
Washington RedskinsWashington (0-2),0,0,7,0,7,7,New York GiantsNY Giants (1-1),0,0,7,10,17,17,1981,2
Kansas City ChiefsKansas City (2-0),7,3,3,6,19,19,Tampa Bay BuccaneersTampa Bay (1-1),7,3,0,0,10,10,1981,2
Baltimore ColtsBaltimore (1-1),0,3,0,0,3,3,Buffalo BillsBuffalo (2-0),7,14,7,7,35,35,1981,2
San Francisco 49ersSan Francisco (1-1),7,7,7,7,28,28,Chicago BearsChicago (0-2),0,10,7,0,17,17,1981,2
New York JetsNY Jets (0-2),0,17,3,10,30,30,Cincinnati BengalsCincinnati (2-0),0,10,7,14,31,31,1981,2
Seattle SeahawksSeattle (1-1),7,3,3,0,13,13,Denver BroncosDenver (1-1),3,7,0,0,10,10,1981,2
San Diego ChargersSan Diego (2-0),7,0,7,14,28,28,Detroit LionsDetroit (1-1),3,0,10,10,23,23,1981,2
Philadelphia EaglesPhiladelphia (2-0),0,3,10,0,13,13,New England PatriotsNew England (0-2),3,0,0,0,3,3,1981,2
Dallas CowboysDallas (2-0),14,13,3,0,30,30,St. Louis CardinalsSt. Louis (0-2),7,7,0,3,17,17,1981,2
Minnesota VikingsMinnesota (0-2),0,7,3,0,10,10,Oakland RaidersOakland (1-1),3,13,7,13,36,36,1981,2
Buffalo BillsBuffalo (2-1),0,14,0,0,14,14,Philadelphia EaglesPhiladelphia (3-0),7,3,7,3,20,20,1981,3
Cincinnati BengalsCincinnati (2-1),0,0,3,14,17,17,Cleveland BrownsCleveland (1-2),3,10,0,7,20,20,1981,3
Minnesota VikingsMinnesota (1-2),7,10,6,3,26,26,Detroit LionsDetroit (1-2),0,14,7,3,24,24,1981,3
Houston OilersHouston (2-1),7,0,3,0,10,10,Miami DolphinsMiami (3-0),6,3,0,7,16,16,1981,3
Pittsburgh SteelersPittsburgh (1-2),7,10,14,7,38,38,New York JetsNY Jets (0-3),0,3,0,7,10,10,1981,3
Kansas City ChiefsKansas City (2-1),7,7,14,3,31,31,San Diego ChargersSan Diego (3-0),14,14,7,7,42,42,1981,3
Atlanta FalconsAtlanta (3-0),17,7,10,0,34,34,San Francisco 49ersSan Francisco (1-2),0,10,0,7,17,17,1981,3
Chicago BearsChicago (1-2),0,14,7,7,28,28,Tampa Bay BuccaneersTampa Bay (1-2),7,0,7,3,17,17,1981,3
St. Louis CardinalsSt. Louis (1-2),9,17,0,14,40,40,Washington RedskinsWashington (0-3),10,7,0,13,30,30,1981,3
Denver BroncosDenver (2-1),0,14,14,0,28,28,Baltimore ColtsBaltimore (1-2),0,0,10,0,10,10,1981,3
Los Angeles RamsLos Angeles (1-2),0,14,7,14,35,35,Green Bay PackersGreen Bay (1-2),0,10,6,7,23,23,1981,3
New York GiantsNY Giants (2-1),0,13,7,0,20,20,New Orleans SaintsNew Orleans (1-2),0,0,0,7,7,7,1981,3
Oakland RaidersOakland (2-1),7,6,0,7,20,20,Seattle SeahawksSeattle (1-2),0,3,7,0,10,10,1981,3
New England PatriotsNew England (0-3),7,7,7,0,21,21,Dallas CowboysDallas (3-0),7,10,7,11,35,35,1981,3
Cleveland BrownsCleveland (2-2),0,21,7,0,28,28,Atlanta FalconsAtlanta (3-1),3,7,0,7,17,17,1981,4
Cincinnati BengalsCincinnati (3-1),0,10,0,14,3,27,Buffalo BillsBuffalo (2-2),0,14,0,10,0,24,1981,4
New York JetsNY Jets (1-3),7,14,5,7,33,33,Houston OilersHouston (2-2),7,3,7,0,17,17,1981,4
Green Bay PackersGreen Bay (1-3),10,0,3,0,13,13,Minnesota VikingsMinnesota (2-2),0,20,10,0,30,30,1981,4
Pittsburgh SteelersPittsburgh (2-2),7,7,7,0,6,27,New England PatriotsNew England (0-4),0,7,0,14,0,21,1981,4
Detroit LionsDetroit (2-2),0,3,0,13,16,16,Oakland RaidersOakland (2-2),0,0,0,0,0,0,1981,4
Philadelphia EaglesPhiladelphia (4-0),0,7,7,22,36,36,Washington RedskinsWashington (0-4),0,6,0,7,13,13,1981,4
Baltimore ColtsBaltimore (1-3),0,7,14,7,28,28,Miami DolphinsMiami (4-0),7,7,7,10,31,31,1981,4
Seattle SeahawksSeattle (1-3),0,7,7,0,14,14,Kansas City ChiefsKansas City (3-1),7,13,0,0,20,20,1981,4
San Francisco 49ersSan Francisco (2-2),0,7,7,7,21,21,New Orleans SaintsNew Orleans (1-3),7,0,0,7,14,14,1981,4
Dallas CowboysDallas (4-0),3,7,0,8,18,18,New York GiantsNY Giants (2-2),0,3,0,7,10,10,1981,4
Tampa Bay BuccaneersTampa Bay (2-2),6,0,0,14,20,20,St. Louis CardinalsSt. Louis (1-3),0,3,7,0,10,10,1981,4
Denver BroncosDenver (3-1),21,7,7,7,42,42,San Diego ChargersSan Diego (3-1),0,0,10,14,24,24,1981,4
Chicago BearsChicago (1-3),0,0,0,7,7,7,Los Angeles RamsLos Angeles (2-2),7,3,7,7,24,24,1981,4
Buffalo BillsBuffalo (3-2),14,0,3,6,23,23,Baltimore ColtsBaltimore (1-4),0,3,0,14,17,17,1981,5
Minnesota VikingsMinnesota (3-2),10,7,7,0,24,24,Chicago BearsChicago (1-4),0,7,7,7,21,21,1981,5
Houston OilersHouston (3-2),0,7,7,3,17,17,Cincinnati BengalsCincinnati (3-2),3,0,7,0,10,10,1981,5
St. Louis CardinalsSt. Louis (2-3),10,0,7,3,20,20,Dallas CowboysDallas (4-1),7,3,7,0,17,17,1981,5
New York GiantsNY Giants (2-3),0,0,7,7,14,14,Green Bay PackersGreen Bay (2-3),3,10,7,7,27,27,1981,5
New England PatriotsNew England (1-4),7,7,10,9,33,33,Kansas City ChiefsKansas City (3-2),7,0,3,7,17,17,1981,5
New Orleans SaintsNew Orleans (1-4),0,3,3,0,6,6,Pittsburgh SteelersPittsburgh (3-2),7,6,0,7,20,20,1981,5
Washington RedskinsWashington (0-5),0,3,0,14,17,17,San Francisco 49ersSan Francisco (3-2),14,10,6,0,30,30,1981,5
Los Angeles RamsLos Angeles (3-2),7,7,0,13,27,27,Cleveland BrownsCleveland (2-3),3,0,7,6,16,16,1981,5
Oakland RaidersOakland (2-3),0,0,0,0,0,0,Denver BroncosDenver (4-1),0,7,10,0,17,17,1981,5
Tampa Bay BuccaneersTampa Bay (3-2),0,14,0,14,28,28,Detroit LionsDetroit (2-3),10,0,0,0,10,10,1981,5
Miami DolphinsMiami (4-0-1),7,7,7,7,0,28,New York JetsNY Jets (1-3-1),14,0,0,14,0,28,1981,5
San Diego ChargersSan Diego (4-1),0,10,7,7,24,24,Seattle SeahawksSeattle (1-4),0,7,0,3,10,10,1981,5
Philadelphia EaglesPhiladelphia (5-0),6,7,0,3,16,16,Atlanta FalconsAtlanta (3-2),0,0,10,3,13,13,1981,5
Pittsburgh SteelersPittsburgh (4-2),7,3,0,3,13,13,Cleveland BrownsCleveland (2-4),0,7,0,0,7,7,1981,6
Atlanta FalconsAtlanta (3-3),0,21,7,7,35,35,Los Angeles RamsLos Angeles (4-2),13,7,7,10,37,37,1981,6
New York JetsNY Jets (2-3-1),7,14,7,0,28,28,New England PatriotsNew England (1-5),0,14,7,3,24,24,1981,6
Kansas City ChiefsKansas City (4-2),3,7,10,7,27,27,Oakland RaidersOakland (2-4),0,0,0,0,0,0,1981,6
New Orleans SaintsNew Orleans (1-5),7,0,0,7,14,14,Philadelphia EaglesPhiladelphia (6-0),14,10,7,0,31,31,1981,6
Houston OilersHouston (4-2),7,7,0,21,35,35,Seattle SeahawksSeattle (1-5),10,0,0,7,17,17,1981,6
Green Bay PackersGreen Bay (2-4),7,0,0,3,10,10,Tampa Bay BuccaneersTampa Bay (4-2),0,7,14,0,21,21,1981,6
Chicago BearsChicago (1-5),0,0,0,7,7,7,Washington RedskinsWashington (1-5),10,7,0,7,24,24,1981,6
Baltimore ColtsBaltimore (1-5),0,5,0,14,19,19,Cincinnati BengalsCincinnati (4-2),3,14,7,17,41,41,1981,6
San Francisco 49ersSan Francisco (4-2),21,3,14,7,45,45,Dallas CowboysDallas (4-2),0,7,0,7,14,14,1981,6
Denver BroncosDenver (5-1),10,7,3,7,27,27,Detroit LionsDetroit (2-4),7,14,0,0,21,21,1981,6
San Diego ChargersSan Diego (4-2),7,7,10,7,31,31,Minnesota VikingsMinnesota (4-2),0,14,10,9,33,33,1981,6
New York GiantsNY Giants (3-3),0,17,10,7,34,34,St. Louis CardinalsSt. Louis (2-4),0,7,0,7,14,14,1981,6
Buffalo BillsBuffalo (4-2),10,21,0,0,31,31,Miami DolphinsMiami (4-1-1),0,7,7,7,21,21,1981,6
New York JetsNY Jets (3-3-1),6,0,21,6,33,33,Buffalo BillsBuffalo (4-3),0,7,7,0,14,14,1981,7
New England PatriotsNew England (2-5),7,0,17,14,38,38,Houston OilersHouston (4-3),0,10,0,0,10,10,1981,7
Cleveland BrownsCleveland (3-4),10,0,3,7,20,20,New Orleans SaintsNew Orleans (1-6),7,7,3,0,17,17,1981,7
Minnesota VikingsMinnesota (5-2),0,21,7,7,35,35,Philadelphia EaglesPhiladelphia (6-1),6,3,0,14,23,23,1981,7
Cincinnati BengalsCincinnati (5-2),10,3,14,7,34,34,Pittsburgh SteelersPittsburgh (4-3),0,0,0,7,7,7,1981,7
Atlanta FalconsAtlanta (4-3),0,20,7,14,41,41,St. Louis CardinalsSt. Louis (2-5),7,7,6,0,20,20,1981,7
Green Bay PackersGreen Bay (2-5),0,3,0,0,3,3,San Francisco 49ersSan Francisco (5-2),0,3,7,3,13,13,1981,7
Miami DolphinsMiami (5-1-1),0,3,7,3,13,13,Washington RedskinsWashington (1-6),0,3,0,7,10,10,1981,7
Baltimore ColtsBaltimore (1-6),7,0,7,0,14,14,San Diego ChargersSan Diego (5-2),7,16,7,13,43,43,1981,7
Kansas City ChiefsKansas City (5-2),14,0,0,14,28,28,Denver BroncosDenver (5-2),0,0,7,7,14,14,1981,7
Seattle SeahawksSeattle (1-6),0,0,0,0,0,0,New York GiantsNY Giants (4-3),3,10,13,6,32,32,1981,7
Oakland RaidersOakland (3-4),12,3,0,3,18,18,Tampa Bay BuccaneersTampa Bay (4-3),0,0,7,9,16,16,1981,7
Dallas CowboysDallas (5-2),12,14,0,3,29,29,Los Angeles RamsLos Angeles (4-3),0,10,7,0,17,17,1981,7
Detroit LionsDetroit (3-4),10,17,7,14,48,48,Chicago BearsChicago (1-6),7,7,0,3,17,17,1981,7
Cleveland BrownsCleveland (4-4),7,21,7,7,42,42,Baltimore ColtsBaltimore (1-7),0,7,14,7,28,28,1981,8
New Orleans SaintsNew Orleans (2-6),0,0,7,10,17,17,Cincinnati BengalsCincinnati (5-3),0,0,0,7,7,7,1981,8
Buffalo BillsBuffalo (5-3),0,3,3,3,9,9,Denver BroncosDenver (5-3),0,7,0,0,7,7,1981,8
Detroit LionsDetroit (4-4),7,10,7,7,31,31,Green Bay PackersGreen Bay (2-6),7,3,10,7,27,27,1981,8
St. Louis CardinalsSt. Louis (3-5),13,0,7,10,30,30,Minnesota VikingsMinnesota (5-3),0,3,7,7,17,17,1981,8
Washington RedskinsWashington (2-6),7,7,10,0,24,24,New England PatriotsNew England (2-6),6,9,0,7,22,22,1981,8
Atlanta FalconsAtlanta (4-4),7,7,3,7,0,24,New York GiantsNY Giants (5-3),0,7,10,7,3,27,1981,8
Philadelphia EaglesPhiladelphia (7-1),0,7,0,13,20,20,Tampa Bay BuccaneersTampa Bay (4-4),7,0,0,3,10,10,1981,8
Oakland RaidersOakland (3-5),7,10,0,0,17,17,Kansas City ChiefsKansas City (6-2),0,0,7,21,28,28,1981,8
San Francisco 49ersSan Francisco (6-2),14,3,3,0,20,20,Los Angeles RamsLos Angeles (4-4),0,10,7,0,17,17,1981,8
Dallas CowboysDallas (6-2),7,7,0,14,28,28,Miami DolphinsMiami (5-2-1),0,6,7,14,27,27,1981,8
Chicago BearsChicago (2-6),7,3,0,7,3,20,San Diego ChargersSan Diego (5-3),0,3,0,14,0,17,1981,8
New York JetsNY Jets (3-4-1),0,0,3,0,3,3,Seattle SeahawksSeattle (2-6),0,7,6,6,19,19,1981,8
Pittsburgh SteelersPittsburgh (5-3),10,3,0,13,26,26,Houston OilersHouston (4-4),0,3,0,10,13,13,1981,8
New Orleans SaintsNew Orleans (2-7),0,10,0,0,10,10,Atlanta FalconsAtlanta (5-4),10,14,10,7,41,41,1981,9
Miami DolphinsMiami (6-2-1),7,7,10,3,27,27,Baltimore ColtsBaltimore (1-8),0,10,0,0,10,10,1981,9
Tampa Bay BuccaneersTampa Bay (5-4),0,10,7,3,20,20,Chicago BearsChicago (2-7),3,0,0,7,10,10,1981,9
Buffalo BillsBuffalo (6-3),6,7,2,7,22,22,Cleveland BrownsCleveland (4-5),0,3,3,7,13,13,1981,9
Cincinnati BengalsCincinnati (6-3),0,24,3,7,34,34,Houston OilersHouston (4-5),7,0,0,14,21,21,1981,9
New York GiantsNY Giants (5-4),0,0,7,0,7,7,New York JetsNY Jets (4-4-1),0,13,3,10,26,26,1981,9
Pittsburgh SteelersPittsburgh (5-4),0,0,14,0,14,14,San Francisco 49ersSan Francisco (7-2),0,10,0,7,17,17,1981,9
Green Bay PackersGreen Bay (3-6),7,14,7,6,34,34,Seattle SeahawksSeattle (2-7),7,14,3,0,24,24,1981,9
Philadelphia EaglesPhiladelphia (7-2),0,7,7,0,14,14,Dallas CowboysDallas (7-2),0,3,0,14,17,17,1981,9
Los Angeles RamsLos Angeles (5-4),7,0,0,13,20,20,Detroit LionsDetroit (4-5),10,3,0,0,13,13,1981,9
San Diego ChargersSan Diego (6-3),7,12,0,3,22,22,Kansas City ChiefsKansas City (6-3),7,0,7,6,20,20,1981,9
Oakland RaidersOakland (4-5),3,10,0,14,27,27,New England PatriotsNew England (2-7),3,7,7,0,17,17,1981,9
Washington RedskinsWashington (3-6),14,7,7,14,42,42,St. Louis CardinalsSt. Louis (3-6),0,0,0,21,21,21,1981,9
Denver BroncosDenver (6-3),0,3,3,13,19,19,Minnesota VikingsMinnesota (5-4),0,3,0,14,17,17,1981,9
Kansas City ChiefsKansas City (6-4),3,3,0,7,0,13,Chicago BearsChicago (3-7),7,3,0,3,3,16,1981,10
Washington RedskinsWashington (4-6),10,10,3,10,33,33,Detroit LionsDetroit (4-6),7,14,0,10,31,31,1981,10
New England PatriotsNew England (2-8),7,10,0,10,0,27,Miami DolphinsMiami (7-2-1),0,6,14,7,3,30,1981,10
Green Bay PackersGreen Bay (4-6),20,3,0,3,26,26,New York GiantsNY Giants (5-5),0,14,0,10,24,24,1981,10
Houston OilersHouston (5-5),3,7,0,7,17,17,Oakland RaidersOakland (4-6),0,3,10,3,16,16,1981,10
St. Louis CardinalsSt. Louis (3-7),7,3,0,0,10,10,Philadelphia EaglesPhiladelphia (8-2),7,10,14,21,52,52,1981,10
Minnesota VikingsMinnesota (6-4),3,13,7,2,25,25,Tampa Bay BuccaneersTampa Bay (5-5),0,0,3,7,10,10,1981,10
San Francisco 49ersSan Francisco (8-2),0,10,0,7,17,17,Atlanta FalconsAtlanta (5-5),0,0,7,7,14,14,1981,10
San Diego ChargersSan Diego (6-4),0,10,0,7,17,17,Cincinnati BengalsCincinnati (7-3),10,21,0,9,40,40,1981,10
Denver BroncosDenver (7-3),3,7,3,7,3,23,Cleveland BrownsCleveland (4-6),0,7,7,6,0,20,1981,10
Los Angeles RamsLos Angeles (5-5),3,10,0,0,13,13,New Orleans SaintsNew Orleans (3-7),0,7,7,7,21,21,1981,10
Baltimore ColtsBaltimore (1-9),7,7,0,0,14,14,New York JetsNY Jets (5-4-1),10,14,7,10,41,41,1981,10
Seattle SeahawksSeattle (3-7),3,7,0,14,24,24,Pittsburgh SteelersPittsburgh (5-5),7,14,0,0,21,21,1981,10
Dallas CowboysDallas (8-2),7,0,20,0,27,27,Buffalo BillsBuffalo (6-4),7,7,0,0,14,14,1981,10
Philadelphia EaglesPhiladelphia (9-2),7,14,10,7,38,38,Baltimore ColtsBaltimore (1-10),6,0,0,7,13,13,1981,11
St. Louis CardinalsSt. Louis (4-7),3,7,0,14,24,24,Buffalo BillsBuffalo (6-5),0,0,0,0,0,0,1981,11
Green Bay PackersGreen Bay (5-6),7,14,0,0,21,21,Chicago BearsChicago (3-8),10,0,0,7,17,17,1981,11
Tampa Bay BuccaneersTampa Bay (5-6),0,0,7,0,7,7,Denver BroncosDenver (8-3),7,0,7,10,24,24,1981,11
Kansas City ChiefsKansas City (7-4),7,3,7,6,23,23,Houston OilersHouston (5-6),0,3,0,7,10,10,1981,11
Cincinnati BengalsCincinnati (8-3),10,0,0,14,24,24,Los Angeles RamsLos Angeles (5-6),0,3,0,7,10,10,1981,11
Minnesota VikingsMinnesota (7-4),0,10,10,0,20,20,New Orleans SaintsNew Orleans (3-8),0,3,0,7,10,10,1981,11
New England PatriotsNew England (2-9),0,3,3,0,6,6,New York JetsNY Jets (6-4-1),0,10,7,0,17,17,1981,11
Miami DolphinsMiami (7-3-1),0,3,7,7,17,17,Oakland RaidersOakland (5-6),7,14,3,9,33,33,1981,11
Atlanta FalconsAtlanta (5-6),0,7,3,10,20,20,Pittsburgh SteelersPittsburgh (6-5),7,7,13,7,34,34,1981,11
San Francisco 49ersSan Francisco (8-3),0,6,6,0,12,12,Cleveland BrownsCleveland (5-6),2,3,0,10,15,15,1981,11
Detroit LionsDetroit (5-6),0,7,10,10,27,27,Dallas CowboysDallas (8-3),7,10,0,7,24,24,1981,11
New York GiantsNY Giants (5-6),7,6,7,7,0,27,Washington RedskinsWashington (5-6),7,3,7,10,3,30,1981,11
Seattle SeahawksSeattle (4-7),0,24,14,6,44,44,San Diego ChargersSan Diego (6-5),7,10,0,6,23,23,1981,11
Cincinnati BengalsCincinnati (9-3),14,14,0,10,38,38,Denver BroncosDenver (8-4),0,7,0,14,21,21,1981,12
Chicago BearsChicago (3-9),0,7,0,0,7,7,Detroit LionsDetroit (6-6),3,6,7,7,23,23,1981,12
Tampa Bay BuccaneersTampa Bay (6-6),3,24,0,10,37,37,Green Bay PackersGreen Bay (5-7),0,0,0,3,3,3,1981,12
Buffalo BillsBuffalo (7-5),3,10,0,7,20,20,New England PatriotsNew England (2-10),7,0,3,7,17,17,1981,12
Houston OilersHouston (5-7),0,3,7,14,24,24,New Orleans SaintsNew Orleans (4-8),0,10,14,3,27,27,1981,12
Philadelphia EaglesPhiladelphia (9-3),7,3,0,0,10,10,New York GiantsNY Giants (6-6),3,7,0,10,20,20,1981,12
Cleveland BrownsCleveland (5-7),3,7,0,0,10,10,Pittsburgh SteelersPittsburgh (7-5),12,0,6,14,32,32,1981,12
Kansas City ChiefsKansas City (8-4),3,17,7,13,40,40,Seattle SeahawksSeattle (4-8),3,3,7,0,13,13,1981,12
Baltimore ColtsBaltimore (1-11),10,0,7,7,24,24,St. Louis CardinalsSt. Louis (5-7),14,7,7,7,35,35,1981,12
New York JetsNY Jets (7-4-1),3,3,0,10,16,16,Miami DolphinsMiami (7-4-1),0,12,0,3,15,15,1981,12
Oakland RaidersOakland (5-7),7,14,0,0,21,21,San Diego ChargersSan Diego (7-5),7,21,20,7,55,55,1981,12
Los Angeles RamsLos Angeles (5-7),0,17,7,7,31,31,San Francisco 49ersSan Francisco (9-3),3,7,17,6,33,33,1981,12
Dallas CowboysDallas (9-3),7,3,7,7,24,24,Washington RedskinsWashington (5-7),0,7,3,0,10,10,1981,12
