home_name,home_q1,home_q2,home_q3,home_q4,home_final,away_name,away_q1,away_q2,away_q3,away_q4,away_final,year,week
Chicago,3,10,0,10,23,Jacksonville,0,7,7,10,24,1998,1
Minnesota,14,7,0,10,31,Tampa Bay,0,0,7,0,7,1998,1
St. Louis,0,7,7,3,17,New Orleans,14,10,0,0,24,1998,1
N.Y. Giants,0,10,21,0,31,Washington,7,3,7,7,24,1998,1
Baltimore,3,0,0,10,13,Pittsburgh,3,0,10,7,20,1998,1
Philadelphia,0,0,0,0,0,Seattle,14,0,17,7,38,1998,1
Cincinnati,7,0,7,0,14,Tennessee,3,7,7,6,23,1998,1
Dallas,0,14,7,17,38,Arizona,0,0,10,0,10,1998,1
Indianapolis,0,3,0,12,15,Miami,3,14,0,7,24,1998,1
San Diego,3,0,10,3,16,Buffalo,0,0,7,7,14,1998,1
San Francisco,7,7,9,7,36,N.Y. Jets,3,14,7,6,30,1998,1
Kansas City,17,3,3,5,28,Oakland,0,0,8,0,8,1998,1
Denver,10,7,3,7,27,New England,0,7,7,7,21,1998,1
Atlanta,0,0,14,3,17,Philadelphia,6,3,0,3,12,1998,2
N.Y. Jets,7,0,3,0,10,Baltimore,7,7,3,7,24,1998,2
Detroit,7,7,7,7,28,Cincinnati,7,7,7,7,34,1998,2
Green Bay,10,6,0,7,23,Tampa Bay,0,0,0,15,15,1998,2
Jacksonville,7,7,7,0,21,Kansas City,0,6,3,7,16,1998,2
Miami,0,7,3,3,13,Buffalo,0,7,0,0,7,1998,2
St. Louis,0,10,14,7,31,Minnesota,14,10,7,7,38,1998,2
New Orleans,7,3,3,6,19,Carolina,0,14,0,0,14,1998,2
Pittsburgh,0,7,10,0,17,Chicago,0,9,0,3,12,1998,2
Tennessee,0,7,0,0,7,San Diego,3,3,7,0,13,1998,2
Denver,21,14,0,7,42,Dallas,7,10,3,3,23,1998,2
Oakland,7,3,7,3,20,N.Y. Giants,7,0,10,0,17,1998,2
Seattle,10,10,0,13,33,Arizona,0,0,7,7,14,1998,2
New England,10,6,6,7,29,Indianapolis,0,0,0,6,6,1998,2
Washington,7,3,0,0,10,San Francisco,7,14,7,17,45,1998,2
Washington,7,3,0,0,10,San Francisco,7,14,7,17,45,1998,3
Washington,7,3,0,0,10,San Francisco,7,14,7,17,45,1998,4
Washington,7,3,0,0,10,San Francisco,7,14,7,17,45,1998,5
Washington,7,3,0,0,10,San Francisco,7,14,7,17,45,1998,6
Washington,7,3,0,0,10,San Francisco,7,14,7,17,45,1998,7
Washington,7,3,0,0,10,San Francisco,7,14,7,17,45,1998,8
Washington,7,3,0,0,10,Detroit,0,6,3,6,15,1998,9
Washington,7,3,0,0,10,Atlanta,17,10,7,3,37,1998,9
Washington,7,3,0,0,10,Buffalo,0,14,0,16,30,1998,9
Washington,7,3,0,0,10,Carolina,7,10,7,7,31,1998,9
Washington,7,3,0,0,10,Cincinnati,3,9,0,14,26,1998,9
Washington,7,3,0,0,10,Baltimore,7,6,0,6,19,1998,9
Washington,7,3,0,0,10,Indianapolis,7,3,0,6,16,1998,9
Washington,7,3,0,0,10,Tampa Bay,7,10,0,10,27,1998,9
Washington,7,3,0,0,10,Pittsburgh,0,7,0,24,31,1998,9
Washington,7,3,0,0,10,Washington,7,7,7,0,21,1998,9
